what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1230854481455
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1230854481471
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1230854481488
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1230854481503
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1230854481512
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1230854481520
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1230854481524
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1230854481525
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1230854481545
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1230854481546
started,bundle,org.eclipse.wb.discovery.core,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.core",1230854481547
started,bundle,org.eclipse.wb.discovery.ui,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.ui",1230854481548
os,sysinfo,,,"win32",1230854481552
arch,sysinfo,,,"x86",1230854481552
ws,sysinfo,,,"win32",1230854481552
locale,sysinfo,,,"fr_FR",1230854481552
processors,sysinfo,,,"4",1230854481552
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1230854481552
java.runtime.version,sysinfo,,,"1.7.0_15-b03",1230854481552
java.specification.name,sysinfo,,,"Java Platform API Specification",1230854481552
java.specification.vendor,sysinfo,,,"Oracle Corporation",1230854481552
java.specification.version,sysinfo,,,"1.7",1230854481552
java.vendor,sysinfo,,,"Oracle Corporation",1230854481552
java.version,sysinfo,,,"1.7.0_15",1230854481552
java.vm.info,sysinfo,,,"mixed mode, sharing",1230854481552
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1230854481552
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1230854481552
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1230854481552
java.vm.specification.version,sysinfo,,,"1.7",1230854481552
java.vm.vendor,sysinfo,,,"Oracle Corporation",1230854481552
java.vm.version,sysinfo,,,"23.7-b01",1230854481552
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1230854481560
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1230854506925
error,log,,,"The project description file (.project) for 'TP7Bis' is missing.  This file contains important information about the project.  The project will not function properly until this file is restored.",1230854507592
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1230854507630
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1230854509302
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1230854511757
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1230854512849
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1230854515035
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1230854515042
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1230854515042
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1230854519083
started,bundle,org.eclipse.debug.core,3.7.1.v20111129-2031,"org.eclipse.debug.core",1230854563116
started,bundle,org.eclipse.jdt.launching,3.6.1.v20111006_r372,"org.eclipse.jdt.launching",1230854563133
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1230854563228
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1230854563233
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1230854563421
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1230854563428
started,bundle,org.eclipse.wb.core.lib,1.3.0.r37x201202052311,"org.eclipse.wb.core.lib",1230854563856
started,bundle,org.eclipse.wb.core,1.3.0.r37x201202052311,"org.eclipse.wb.core",1230854563962
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1230854580357
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1230854580404
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1230854581087
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1230854581872
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1230854582590
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1230854582602
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1230854590708
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1230854594585
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1230854594596
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1230854598121
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1230854602942
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1230854602949
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1230854602949
